,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
63,0.06606001853942871,0.0028787106036121113,0.006224822998046875,0.0007612140696112886,0.01,1,3,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}",-0.863512475970871,-0.9247836199680277,-1.151819021195581,-0.9851852445984493,-1.2139602136625243,-1.0278521150790907,0.13375732628437717,49,-65.93270097454433,-65.8204199705168,-75.85607892062505,-66.27963826700105,-64.67152314621133,-67.71207225577972,4.107704008367118,49
99,0.06830568313598633,0.002414990520277467,0.0062392234802246095,0.00040809757666072303,0.1,1,3,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}",-0.863512475970871,-0.9247836199680277,-1.1573285782277751,-0.9851852445984493,-1.2139602136625243,-1.0289540264855295,0.13479273075903345,51,-65.93270097454433,-65.8204199705168,-75.95312848887068,-66.27963826700105,-64.67152314621133,-67.73148216942883,4.1461895918532035,51
23,0.39999876022338865,0.006826916917209515,0.005578374862670899,0.0005192655635933585,0,0.1,6,500,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",-0.8853909003522054,-0.9467489738650869,-1.1529890827236287,-0.9973279354014755,-1.254622335678079,-1.047415845604095,0.13636343983835164,52,-66.31861048776216,-66.19492114710165,-75.87669966442586,-66.48203404212433,-65.26270735842397,-68.02699453996759,3.947686058682125,52
59,0.40114078521728513,0.0038244083880861974,0.005390167236328125,0.0004531977351762303,0.01,0.1,6,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",-0.8873139282723543,-0.9465081859929023,-1.1533199183847507,-0.997474976641505,-1.2542588136257864,-1.0477751645834599,0.13587355194823947,53,-66.35242311424271,-66.19082728926035,-75.88252917699292,-66.48448116676549,-65.25744585867835,-68.03354132118797,3.94802880356122,53
95,0.40866918563842775,0.002366593657429208,0.0057910442352294925,0.0004225162979322182,0.1,0.1,6,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",-0.8866708484476289,-0.9481154725788647,-1.1563876723061925,-0.9959910874036297,-1.251834351125094,-1.0477998863722822,0.1356503379482934,54,-66.34111775072516,-66.21814946463806,-75.93656343174185,-66.4597814993271,-65.2223441231796,-68.03559125392235,3.9748517523666687,54
98,0.5129354000091553,0.005261422493588578,0.0058039665222167965,0.00039074317859953873,0.1,0.1,9,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",-0.9139817975519702,-0.9773514676537565,-1.172747588228452,-0.999275841699029,-1.284722548332745,-1.0696158486931906,0.13754231232355155,55,-66.81956077104215,-66.7131776458853,-76.22407398207022,-66.51444464725624,-65.69690608606311,-68.3936326264634,3.934999986436409,55
101,0.28383684158325195,0.002619959169148567,0.004803180694580078,0.0004117221166438265,0.1,1,3,500,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}",-0.9144635071248521,-0.981434427822385,-1.1769649922183003,-1.0062605960202498,-1.2902264578855225,-1.073869996214262,0.13853843565618598,56,-66.82796879172858,-66.78201891813538,-76.2980153526069,-66.63053217681004,-65.77599059529167,-68.46290516691451,3.9361008077600097,56
100,0.13385939598083496,0.0017722468939228204,0.006594419479370117,0.0004987278567122826,0.1,1,3,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 200}",-0.9144635071248521,-0.9814344317307435,-1.1769649922183003,-1.0062605960202498,-1.2902264583240775,-1.0738699970836447,0.13853843527161813,57,-66.82796879172858,-66.7820189839988,-76.2980153526069,-66.63053217681004,-65.77599060158938,-68.46290518134674,3.9361008012748955,57
105,0.1286099910736084,0.004540069097826525,0.006792688369750976,0.0003761795389341947,0.1,1,9,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",-0.9188621751454782,-0.9861430304200054,-1.1779833202894556,-1.0070802786057547,-1.2867962463764098,-1.0753730101674208,0.13590451685029883,58,-66.90469665693196,-66.86132091100988,-76.31585838800594,-66.64414215091729,-65.726713785613,-68.49054637849562,3.935804420511096,58
106,0.230507230758667,0.008927958246804894,0.004986286163330078,3.015782985847835e-07,0.1,1,9,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}",-0.9188621751454782,-0.9861430340617827,-1.1779833202894556,-1.0070802786057547,-1.2867962463764098,-1.0753730108957762,0.13590451637208706,59,-66.90469665693196,-66.8613209723081,-76.31585838800594,-66.64414215091729,-65.726713785613,-68.49054639075527,3.9358044154362184,59
107,0.47833914756774903,0.02154209334643938,0.004839181900024414,0.0004324283154432226,0.1,1,9,500,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 500}",-0.9188621751454782,-0.9861430357259069,-1.1779833202894556,-1.0070802786057547,-1.2867962463764098,-1.075373011228601,0.13590451615356633,60,-66.90469665693196,-66.86132100031855,-76.31585838800594,-66.64414215091729,-65.726713785613,-68.49054639635736,3.9358044131172347,60
102,0.10439143180847169,0.005555778972807299,0.006800985336303711,0.00038272272201701795,0.1,1,6,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 100}",-0.9178318672148456,-0.979336483754792,-1.177954719748922,-1.0076691490568699,-1.2954151744104299,-1.0756414788371718,0.13969054352085664,61,-66.88673244458961,-66.74665513221083,-76.31535730933687,-66.65391801497296,-65.85045918752743,-68.49062441772756,3.9289771189975684,61
103,0.19658536911010743,0.011114463875724066,0.005799436569213867,0.0009652370754045847,0.1,1,6,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 200}",-0.9178318672148456,-0.9793364883839146,-1.177954719748922,-1.0076691490568699,-1.2954151744104299,-1.0756414797629965,0.13969054288257773,62,-66.88673244458961,-66.74665521026186,-76.31535730933687,-66.65391801497296,-65.85045918752743,-68.49062443333776,3.9289771120686097,62
104,0.3821883201599121,0.013764648208438915,0.00500645637512207,7.333774095370309e-05,0.1,1,6,500,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 500}",-0.9178318672148456,-0.9793364916157978,-1.177954719748922,-1.0076691490568699,-1.2954151744104299,-1.075641480409373,0.1396905424369549,63,-66.88673244458961,-66.74665526475421,-76.31535730933687,-66.65391801497296,-65.85045918752743,-68.49062444423623,3.928977107231067,63
28,0.12874927520751953,0.0021055766140163426,0.006597089767456055,0.00047151297784587154,0,1,3,200,"{'gamma': 0, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 200}",-0.9217304725778759,-0.9885841016414143,-1.1792486475084916,-1.0079596512208644,-1.2940391044078696,-1.0783123954713032,0.1372914519102414,64,-66.95468224529859,-66.90239628303566,-76.338023505373,-66.65874012598654,-65.83071800361986,-68.53691203266274,3.9213122517674637,64
64,0.13234834671020507,0.0026771008801606297,0.006995296478271485,2.7014245385640148e-05,0.01,1,3,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 200}",-0.9216085366404456,-0.9871582499099458,-1.1804749151561427,-1.0086638467187456,-1.294349932903451,-1.078451096265746,0.1377137609590195,65,-66.95255803704666,-66.87840685174791,-76.35949826539344,-66.67042777863114,-65.83517768565538,-68.53921372369491,3.9303124010819555,65
62,0.516938591003418,0.0064489785280435535,0.005543279647827149,0.0004895323319711674,0.01,0.1,9,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",-0.9227827149110988,-0.98810608380691,-1.1791713303178017,-1.007786510841552,-1.2973207604686796,-1.0790334800692083,0.1381558174412279,66,-66.9730102342252,-66.89435476729653,-76.33666930151034,-66.65586617173477,-65.87778707268279,-68.54753750948993,3.9137887331336128,66
65,0.28783507347106935,0.011718455835550413,0.006037998199462891,0.0020213862873913933,0.01,1,3,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}",-0.9231755208143084,-0.9894926551203829,-1.180610558112848,-1.0085992432301274,-1.2992512538997687,-1.080225846235487,0.13861955599706782,67,-66.97985085384447,-66.91767787549254,-76.36187331382176,-66.66935562888797,-65.90546059812516,-68.56684365403439,3.9162278249812745,67
26,0.5182100772857666,0.006933182272262384,0.005800104141235352,0.00039381341470593536,0,0.1,9,500,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",-0.9223246057205794,-0.9897689978235733,-1.181157506402402,-1.0095968953426304,-1.2990691908374736,-1.0803834392253318,0.13869619836741698,68,-66.96503149098402,-66.92232518339922,-76.37144938809973,-66.68591059043281,-65.90285122964104,-68.56951357651135,3.9196133241611113,68
68,0.3689549922943115,0.012575041418827284,0.0048061847686767575,0.0004091499172843918,0.01,1,6,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 500}",-0.9228362013117941,-0.9898777934667673,-1.1814027732740842,-1.0095043570321973,-1.2990348822675029,-1.0805312014704689,0.138599782545697,69,-66.97394172802386,-66.92415473192928,-76.37574317703405,-66.68437518983767,-65.90235949998215,-68.5721148653614,3.9206555471896696,69
